word,translation,partofspeech
amostrár,show,(v)
ananás,pineapple,(m)
áncho,wide,(adj)
áncho,free from care,(adj)
anchór,width,(f)
anchúa;anchúya,anchovy,(f)
anchúra,comfort;affluence,(f)
anchúsa;enchúsa,spinach baked with egg and,(f)
ánda,stretcher,(f)
ánde;ónde,where;where to,(adv)
ándjak,hardly;however,(adv)
ándjel,angel,(m)
ándjelo,angel,(m)
anekdóta,joke;anecdote,(f)
anesteziko,anaesthetic,
anfitrión;anfitrióna,amphitryon;host,(m/f)
animál,animal,(m)
animar,animate,
anís;aínito,aniseed,(m)
aniversário,birthday,(m)
aníyo,ring,(m)
ankéta,poll,(f)
anóche,last night,(adv)
ansí,so,(adv)
ansiklopédia,encyclopaedia,(f)
ansína,so,(adv)
antepasádos,forefathers,(m)
ántes,before,(prep)
antikitá,antiquity,(f)
antíko,antique,(adj)
antisemitízmo,anti-semitism,(m)
antiyér,day before yesterday,(adv)
antójos,spectacles,(m/p)
anunsiár,announce;proclaim,(v)
anvelóp;envelóp,envelope,(f)
anyáda,year,(f)
ányo,year,(m)
anyúdo,knot,(m)
aogár;afogár,drown;suffocate,(v)
aogárse;afogárse,drown os;suffocate,(v)
apanyár,seize,(v)
aparejár;aprontár;,prepare,(v)
aparente,apparent,
apareser,appear,
apartado/a,remote;isolated,
apartar,separate,
apárte,apart;aside,(adv)
apénas,scarcely;hardly,(adv)
apenas ke,as soon as,
apersevérse,notice;become aware,(v)
apoyár,prop against;support,(v)
apoyárse,rest on,(v)
apóyo,support,(m)
apozar,lay down,
aprender,learn,
aprendizaje,apprenticeship,
apresiár;apresyár,appreciated,(v)
apresurarse,hurry,
apretar,tighten;squeeze,
aproksimativamente,approximately,
aprontár,prepare,(v)
apropiado,appropriate,
aprovár,try,(v)
arabá,carriage;car,(f)
arabo,Arab,
aránya,spider,(f)
araparse,shave,
arar,plough,
arár,plough,(v)
arar la mar,split open,
arba,eve;day before,
archivo,archives,
ardor,ardour,
ariénto;adyéntro,in,(adv)
arina,flour,
arko,arc,
arma,arm,
armada,army,
arraskárse,scratch,(v)
arraviádo,on bad terms;cross,(adj)
arraviárse,be crossed,(v)
arrazgar,tear,
arrebashamiento,scorn,
arregalar,make a present of,
arreglamiento,arrangement;settlement,
arreglar,arrangement;settlement,
arrekojer;rekojer,collect,
arrelumbrar;asender,illuminate,
arrelumbrar;briyar,sparkle;shine,
arremangarse,roll up one's sleeves,
arrematar,finish off,
arrepentimiento,repentance,
arrepentirse;esvachearse,give up,
arrepintirse,repent,
arrepushar;arrondjar,push;shove,
arresentarse,moderate oneself;temper down,
arrestar,arrest;stop,
arretarse;kedarse,stop,
arreventár,burst;crush;smash,(v)
arrevés,upside down,(adv)
arrimár;apoyár,lean;support,(v)
arrimárse,lean;come close to,(v)
arríva,up;on the top;upstairs,(adv)
arrivar,arrive,
arrogar,pray,
arrondjár,push;expel;shove,(v)
arroz,rice,
arrozar,water;irrigate,
arrufiar,water;sprinkle,
arrufyar,irrigate,
arrugar,wrinkle,
artikolo,article,
arto/a,full;fed up,
arvolé;arvól,tree,(m)
as;ázo,ace,(m)
asaltar,assault,
asegurar,secure;insure,
asemejante,similar,
asender,light;ignite,
asentador,seat,
asentarse,sit,
asér ke,whereas,(adv)
aserkar,bring near,
aserkarse,approach;come near,
ashugár,trousseau,(m)
así,so;thus,
asigun,according to,
asistir,assist,
asolombrar,cast a shadow on,
asparago,asparagus,
aspekto,aspect,
asperár,wait,
asperar;esperar,wait;hope,
aspirin,aspirin,
ásta,till;until;up to,(prep)
astronomiko/a,astronomical,
astronoto/a,astronaut,
asukar,sugar,
atagantár;atagentár,annoy;bore,(v)
atakanár,arrange;put in order,(v)
atakanárse,dress up,(v)
atakar,attack,
atamiento,attachment,
atansión;atansyón;atensión,attention;civility,
atar,tie,
atarse,get attached,
atomiko/a,atomic,
atrás,back;backwards;behind,
atrazar,retard,
atrazarse,retard;back up,
atrivírse;tenér koráje,dare,(v)
atudrido/a,thoughtless,
aturvar,disturb,
aumár;afumár,smoke;cure,(v)
aumentár;augmentár,increase;augment,(v)
aunar,unite,
aunke,although;though,
autór;otór,author,(m)
autoridád,authority,(f)
áva fréska,broad beans;fava beans,(f)
áva;avíka,dry beans,(f)
avagar,slowly,
avansar,advance,
avantaje,advantage,
avenida,avenue,
avenír,future,(m)
aver,have,
averdadear,make evident,
avertír,advise;warn,(v)
avion,plane;airplane,
avizo,news,
ávla,speeh;language;dialect,
avladéro,babbling;chattering,
avlánte,speaker,
avlar,speak,
avokato,lawyer,
avramilá,green plum,(f)
avril,April,
avríl,April,(m)
avrir,open,
avuelo;avuela,grandfather;grandmother,
avyána,hazelnut,(f)
avyertura,opening,
aya,there,
áyde,come on,
ayegar,reach;arrive,
ayer,yesterday,
ayi,there;just there,
aynara,evil eye,
ayre,air;wind;draught,
ayúda,help;assistance;aid,(f)
ayúda,enema,(f)
ayudár,help,(v)
ayúdo,help;assistance,(m)
azer,do,
azer luvya,rain,
azer pasar el tiempo,entertain,
azer pena,pain,(v)
azer portreto,portray,
azer regalo,make a present of,
azer shakaruka,make flirtatious remark,
azete,oil,
azlahá,success;abundance,(f)
azno,donkey,(m)
bagaje,luggage,(m)
bahshísh;bakshísh,tip;gratuity,(m)
bakal,grocer,
bakanyádo,cod fish,(m)
bála,ball;bullet;bale,(f)
balkón,balcony,(m)
bálsa,puddle,(f)
banana,banana,
banda de kuero,strap,
bandiera,banner;flag,(f)
banka,bank,(f)
bar,bar,
baragán;barragán,brave;robust,(m)
baraná,uproar;racket;tumult,(f)
barato,cheap,(adj)
barbaro,barbarian,
barbúnya,red mullet fish,(f)
barka motorizada,motorboat,
bárko,boat;small,(m)
barrir,sweep,(v)
basheza,baseness,
basho,low;mean,(adj)
basketbol,basketball,
bastánte,enough;quite,
bastár;abastár,be enough;be sufficient,(v)
batalia,battle,(f)
batalyon,battalion,(m)
báva,spittle,(f)
bavajada,trifle;gibberish,
bayát,stale;old;rancid,(adj)
bayladór,dancer;ballet-dancer,(m/f)
baylar,dance,(v)
bayle,dance,
baza,basis,(f)
bazár,bazaar;market;souk,(m)
bendizír;bendezír,bless,(v)
benyarse,bathe,
benzin,petrol;gasoline,
beraha;bendision,benediction,
bet din,rabbinical tribunal,
bever,drink,
bezar,kiss,
bézo,kiss,
Bíblia;Bíblya,Bible,
bien,well,
bienfezensia,charity,
biervo;palavra,word,
biftek,steak,
bilbíl;bulbúl,nightingale,(m)
bilibíz,roasted chick pea,(m)
bilieto;bilyeto,ticket,
bira,beer,
bírra;íra,great anger;fury,(f)
bisikleta,bicycle,
biskucháda,Zwieback,(f)
bivir,live,
bízba;bézba,wasp;bee,(f)
koza,Bizba detras de la oreja,
blanko/a,white,
blankúcho,albino,(m)
blondo/a,blond,
blu,blue,
boda,wedding;marriage,
bodre,edge,
bodrum,basement,
bógo;bogchá,bundle,(m/f)
bohór/bohóra,first-born,
bóka,mouth,
bokál,bottle,(m)
bolar,fly,
bolsa de mujer,bag;purse,
bolsa;sako,pouch,
bonéte,bonnet,(m)
bonora,happiness;luck;good fortune,
bora,gust,
borracho/a,drunk,
Bosfor,Bosphorus,
bostan,market garden,
botíka;butíka,shop,(f)
bovedad,silliness,
bovo;torpe,silly;stupid,
boy,size;heght;dimensions,(m)
bóyo,savoury flaky pastry,(m)
bóyo de ráyo,cheese cookies,(m)
boz,voice,(f)
bragas,breeches,
braso,arm,
brávo,bravo,(interj)
brávo;bráva,brave,(adj)
bravura,bravery,
bráza,live charcoal,(f)
brig,brig,
Brindar,Toast;offer voluntarily,(v)
brodar,embroider,
broshúra,brochure;pamphlet,(f)
bruido,noise,
bruído;ruído,noise,(m)
bruma;duman,mist;fog,
brumozo,misty;foggy,
brusko,brusque;dark,(adj)
buchúk,twin,(m)
bueno,good;OK,
bulisa;mujer de kaza,landlady;housewife,
burakito de alguja,needle-hole,
buráko,hole,(m)
burlarse de,mock,
buró,office,(m)
bushkár,search,(v)
bushkida,search,
búto,goal,
buyir,boil,
buz,ice,(m)
buzaná,ice-box;very cold place,(f)
buziéra;buzyéra,refrigerator,(f)
byervo;palavra,word,
büro,office;study,
chadir,umbrella,
chaketon,slap,
chanaka,pot,
chanáka de sateiít,satellite dish,(f)
chanta de ombre,briefcase,
chapéo;chapéyo,hat,(m)
chapétas,hot flushes;reddening of the face,(f)
chapín,shoe,(m)
chapteár;chafteár,clash;knock,(v)
chapteár;chafteár,bump into,(v)
chark,wheel;gear,(m)
chark;chárke,wheel,(m)
charúka,slipper;mule,(f)
chay,tea,
chicolata,chocolate,
chikéz,childhood,(f)
chiklet,chewing-gum,
chiko/a,small,
chiní,plate,(m)
chobán,shepherd,(m)
chuflar,whistle,
chufléte,whistle,(m)
chupéta,sucker for baby;titina,(f)
dado,dice,
daínda;déynda,still,(adv)
dalkávo,last;the last one,(adj)
dányo,damage;harm,(m)
dar,give,
dar haber;informar,inform,
dar razon,concede,
dar uti,iron,
data,date,
dáta,date,
de,of,(prep)
de ande,where,
de banka,financial,
de komer,comestible,
de muévo,again,
de vez en kuando,from time to time,
debasho,under;underneath,
debáte,debate,(m)
dechidir,decide,
dechidirse,decide,
dechizión;dechizyón,decision,(f)
dedikarse,dedicate oneself,
dedo,finger,
defender,defend;protect;forbid,
defenderse,defend oneself,
defile,fashion show,
defunkto/a,deceased,
deké,why,
dekor,scenery;set,
dekreto,edict;decree,
delantál,apron,(m)
delantre,in front,
delegar,delegate,
delisiózo;delisióza,delicious,(adj)
demánda,question;request,
demandár,request;ask,(v)
demanyana,morning,
demaziado,too much,
demokrasia,democracy,
demostrar,demonstrate,
dempues,after,
depender,depend,
derecha,right,
derécho,right;straight,(m)
derritír,melt,(v)
derrokar,knock down,
desbafár;esbafár,relieve oneself,(v)
desde,since,
desdenio,disdain,
desdichádo;desdicháda,unhappy;unlucky,(adj)
desén,design,(m)
desendiénte,descendant,(m/f)
desgrasia,misfortune,
deshar,leave;abandon,
desidar,decide,
desiémbre;disiémbre,December,(m)
desinar,sketch,
desizión;desizyón,decision,(f)
deskansar,rest,
deskarádo/deskaráda,shameless,
deskonfiensa,mistrust,
deskorajar,discourage,
deskripsion,description,
deskrivir,describe,
deskudiado/a,careless,
deskudio,carelessness,
deskuvijár;deskuvrír,uncover,(v)
deskuvrír,discover,(v)
desmazaládo,misfortunate;,(adj)
desmodrádo,incongruous,(adj)
desordenado/a,disorderly,
desparesér,disappear,(v)
despues,after;later,
despues;atras,behind;after,
desrepozo,ailment,
destakaménto,detachment,(m)
destakár,detach;detail,(v)
destino,destiny,
destruir,destroy,
detalio;detalyo,detail,
detálios;detályos,details,(m)
detener,stop;hold back,
detrás,behind,
detras;despues,posterior;subsequent,
dévda,debt,(f)
devér,owe,(v)
dever;mision,task;duty,
devista;pishin,immediately;at once,
devorar,devour,
déyo,,(kuantos deyos? = how
dezeo,wish;desire,
dezesperarse,despair,
dezeyar,wish,
dezierto,desert,
dezír;dizír,say,(v)
dezorden;konfuzion,disorder;confusion,
dezvelopar,develop,
dia entero,all day,
dia;diya,day,
dialékto,dialect,
diaspora,diaspora,
diavlo,devil,
dícha,saying,
dícha,good luck,
diente,tooth,
dientisto/a,dentist,
diéz;dyéz,ten,(adj num)
diezén;dyezén,tenth,(adj)
diferensia,difference;disparity,
diferénte,different;un like,
difikultad,difficulty,
difísil,difficult,
difuzar,diffuse,
difuzyon,diffusion,
diksionário;diksionáryo,dictionary,
dinero,money,
dingún;ningún,no;none,(adj)
dingúno;ningúno,nobody,(Pron)
dinyidad,dignity,
Dio,God,
direksion;adreso,direction;address,
direksion;volante,steering-wheel,
direktamente,directly,
direkto/a,direct,
direktór,director;manager,
diríto,right,(m)
disko,disk,
diskulpar,excuse;exonerate,
diskusion,discussion;argument,
diskutir,discuss;argue,
dispozar,make use of,
distinguir,distinguish,
distraido/a,absent-minded,
diverso,diverse,
divertirse,have a good time,
diya/dia,day,
diz,knee,
dizír;dezír,say,(v)
djaketa,jacket,
djenero,gender,
djenero;klase,type;class,
djenitores,parents,
djente,people,
djesto,gesture,
djibeladjuz,shrew,
djóven;djovína,young;young man,(m/f)
djoya,jewel,
djoyero,jeweler,
djudaísmo,judaism,
djudéo-espanyól,judeo-spanish,(m)
djudio/a,Jew,
djuéves;djugéves,Thursday,(m)
djugar,play,
djugete,toy,
djulio,July,
djuntos,joined;together,
djurar,swear;take an oath,
djústo,just;right;fair,
djuzgo,judgement;trial,(m)
djuzgo,judge,(m/f)
doblar,double;fold up,
dobro,good ;nice,
dóbro,good;nice,(adj)
dodje,twelve,
doktor,doctor,
dokuménto,document;certificate,(m)
dokumento ofisial,official document,
dolar,dollar,
dolio,mourning,
dolór,pain;ache,(f)
domestiko/a;de kaza,domestic,
dominasion,dominion;power,
dondurmá,ice cream,(f)
dos,two,
dospues,after;later,
dozientos,two hundred,
dróga,drug;medicine,(f)
dubio,doubt,
dublar,double;fold up,
dulse,sweet,
dunke;alora,therefore,
durante,during,
durasion,duration,
duréra,constipation,(f)
durmir,sleep,
duro/a,hard,
e,and,
ebreo,Hebrew,
écha,accomplished action,
echar,throw,
echar,hurl,
echar chiyo,howl,
echar kon fuersa,hurl,
echar tino;azer atansion,pay attention,
echarse,lie down,
echarse anyudo,knot oneself,
echizo,spell,
echo,work,
edad,age,
editar,edit,
editoriál,editorial,(m)
efasár,erase;rub out,(v)
eféto;efékto,effect,(m)
eglenearse,have a good time,
egoisto/a,selfish,
egzaltado/a,exultant,
egzamen,examination,
egzaminar,examine,
egzekutir,execute,
egzempio,example,
egzemplar,exemplary,
egzersis,exercise,
egziliar,exile,
egzistir,exist,
ekilibrar,balance,
ekonomizar,save,
ekselente,excellent,
eksepsion,exception,
ekseptado,except,
ekskuza,excuse,
eksperimentar,experiment,
eksplikar;dar a entender,explain,
eksplikasion,explanation,
eksplorar,explore,
eksplozar,explode,
eksplozar,burst,
eksplozion,explosion,
ekspozar,expose,
ekspozision,exposition,
ekspresar,express,
ekspresión,expression,(f)
ekspulsion,ezpulsion;ejection,
ekstendér,extend,(v)
el,the,
el de despues,next;near,
el mez ke viene,next month,
el save,you know better,
elegante,neat;stylish,
eleksion,election,
elektrisita,electricity,
elektronika,electronics,
elevo/a,student;pupil,
elijir,elect,
embargo,embargo,
embarkasion kon vela,sail boat,
embasadór;embashadór,ambassador,(m)
embiar,send,
embidia,envy;jealousy,
embolvérse,become absorbed,(v)
embreneár,delight;charm,(v)
embreneárse,be delighted,(v)
embrolio,imbroglio;tangle,
emision,emission,
empedir,stop;prevent,
empesar,begin,
empesijo,beginning,
empiegado/a,employee,
emportánsa;importánsa,importance,(f)
emportánte;importánte,important;,(adj)
emportár,matter,(v)
empórto,amount;value;cost,(m)
emposivle,impossible,
emprestádo,borrowed,(adj)
emprestár,lend;loan,(v)
empréstimo,loan,(m)
emprimadór,printer,(m)
emprimár;imprimár,print,(v)
empriméro,at first,(adv)
en,in;into;upon;at;by,
en medio,in the middle;obvious,
en mizmo tiempo,at a time,
en prezensia,before,
en primero;empesijo,beginning,
en raporto a,in respect to,
en supito,suddenly,
en vista;pishin,at once,
enchikeser,reduce,
endagóra,just now;a bit ago,(adv)
endécha,lament;elegy,(f)
enderechár,put right;straighten,(v)
endevína,riddle,(f)
endevinár,guess,(v)
endevíno,fortune-teller,(m/f)
endjuntos,together;at the same time,
endriva;sovre,on;on top;about,
enéro,January,
enfasyar,bore,
enfin,finally,
enfinkár,stick something pointed,(v)
enfirmeria,infirmary,
enfirmo/a,invalid,
enformatika,computer science,
enfrente,across,
enfrente de,opposite to,
engodrar,fatten,
engrandeser,grow,
enjendrar,beget;breed,
enkantado,astonished,(adj)
enkasháda,swindle,(f)
enkashár,insert,(v)
enklinar,incline,
enkolgar,hang,
enkomendansa,commandment,
enkomendar,recommend;place an order,
enkontrar,find;meet,
enkontrarse,find;meet,
enkontro,meeting,
enkorajar,encourage,
enkorajar,urge on;encourage,
enlokesér,madden;drive mad,(v)
enmofesído,mouldy,(adj)
enriva;sovre,on;on top;about,
ensenyar,teach,
enshaguár,rinse;wash,(v)
enshémplo,example,
ensíma,above;over;on top,
ensupito,suddenly,
ensuziar,dirty,
entendér,understand,(v)
enteramente,entirely,
enterés;enteréso,interest,(m)
enteresánte;interesánte,interesting,(adj)
enteresar,interest,
enteresarse,take interest,
entero,whole,
enteromper,interrupt,
enterramiento,burial;funeral,
enterrar,bury,
enterrarse,be buried,
entision,intention,
entónses;estónses,then;at that time,
entornado/a,surrounded,
entornar,surround;encircle,
entórno,environment,(m)
entrada,entrance,
entrafikado;komplikado,intricate,
entrar,enter,
entre,between;among,
entregar,deliver,
entremientes,meanwhile,
entreprisa,enterprise,
entuziasmo,enthusiasm,
enventar,invent,
enverano,summer,
envitar,invite,
enyegar,deny,
epóka,epoch;period;time,
éra,era;age,(epóka)
erensia,inheritance,
ergueler,hurt,
ermana,sister,
ermano,brother,
ermozo/a,beautiful,
ermozúra,beauty;loveliness,
ermuéra;nuéra,daughter-in-law,(f)
eroe,hero,
esforsarse,strain;exert oneself,
esforso,effort,
esfuégro,father/mother-in-law,(m/f)
esfuenyo,sleep,
eskaldar,scald;stew,
eskalera,staircase,
eskalon,step;grade,
eskalonar,spread out at intervals,
eskapar,finish,
eskarinyárse,long for;miss,(v)
eskarinyo,longing;nostalgia,
eskarvár,dig;ransack,(v)
esklamar,exclaim,
eskojer,choose,
eskola,school,
eskonderse,hide,
eskondido/a,hidden,
eskrita,letter;written document,
eskríto,writing;document,
eskritor,writer,(m/f)
eskritór,writer,(m/f)
eskritúra,writing;script;handwriting,(f)
eskrivir,write,
eskuchár,listen,(v)
eskudo,shield,
eskupir,spit,
eskuridad,darkness,
eskuro,dark,
eskuzar,excuse,
esmeralda,emerald,
espada,sword,
espalda,back,
espander,stick out,
espandido/a;ancho,extensive,
espandir,extend,
espandirse;echarse,lie down,
espantar,frighten,
espantarse,be frightened,
espantavle,fearsome,
espanto,fear;fright;terror,
espantozo,coward,
espanyol,Spanish,
espartir,distribute;share out,(distribuir)
espasio,space,
espedir,despatch,
espejo,mirror,
espektador,spectator,
espektakolo,spectacle,
espekular,speculate,
esperansa,hope,
esperar,hope,
espertar,wake,
espertarse,awaken,
espesial,special,
espesialménte,especially,
espierto/a,awake;smart,
espor,sport,
espozorio,engagement,
estableser,establish,
estado,state,
estampa,stamp,
estampar,stamp,
Estanbol,Istanbul,
estar desrepozado,feel uncomfortable,
estar repozado,feel comfortable,
estar seguro,be certain,
estasion de benzin,gas station,
este,east,
este/esta,this,
estimádo,esteemed,
estimár,esteem,
estomago,stomach,
estória;istória;estórya,story;history,
estórias;istórias;estóryas,gossip,
estragalákya,roasted chick pea;white,(f)
estranyo,strange,
estrécho,narrow,(adj)
estreya,star,
estridia,oyster,
estropiarse,get damaged,
estudiante;elevo,student,
estudiar,study,
estúdio,study,
estupendo/a,stupendous,
etaj;apartamento,apartment,
étang ?,pond,
Ets;etsétera,etc;et caetera;and so on,
Evropa,Europe,
éya,she;her,
éyos,they;them,(pron)
Ezmirna,Smyrna,
fácha;faz;kára,face,
fada,fairy,
fadado/a,fated,
fakto,fact,
falitar,be ruined;be bankrupt,
falta,fault;error,
fama,fame,
familiar;familyar,familiar,
famíya,family,(f)
famozo/a,famous,
fantastiko/a,fantastic,
fantazía;fantezíya,fantasy,(f)
farmasiya,pharmacy,
fásha,nappy;diaper,(f)
fashadúra,baby clothes,(f)
fashisto/a,fascist,
fásil;koláy,easy,(adj)
fastidiozo/a,annoying,
fatigado/a,tired,
fatigar,tire,
favlár,speak,(v)
favor,favour,
fazer,do;make,
fedér,stink;reek;irritate,(v)
federasion,federation,
feliche,happy,
felisida,happiness;felicity,
felisitasion,congratulation,
feo/a,ugly,
ferida,injury;wound,
ferido/a,hurt,
ferír,hurt;injure,(v)
feúzya;fiúzia;feguza,trust;faith,(f)
fey,faith;belief,
fiádo,on trust,(adj)
fiárse,rely;trust,(v)
fidél,faithful;loyal,(adj)
fidéos,vermicelli,(m)
fiérro;fyérro,iron,(m)
fiesta,feast,
fiestar,feast,
figura,face;shape,
fíjo,boy;son/girl;daughter,(m/f)
fiksár,fix;fasten;secure,(v)
fíkso,fixed,(adj)
filmo,film;movie,
filozofia,philosophy,
fin,end,(la)
fin de semana,week-end,
fin;asta,till,
final,final;end,
finalmente,finally,
findján;fildján;fidján,cup,(m)
fíno,fine;delicate,(adj)
fírma,signature,(f)
firmár,sign,(v)
fishugar,molest,
físta,till;until;up till,(konj)
fláko,thin;weak;feeble,(adj)
flama,flame,
flecha,arrow,
fljónes,fresh black-eyed beans,(m)
flor,flower,
floristo/a,florist,
flosho/a,limp,
flota,fleet,
folklór,folklore,
fondasion,foundation,
fondo,bottom;background,
fonksion,function,
fonksionar,function,
forma,form;shape,
formar,form;shape,
forsar,impose,
fortúna,fortune;luck,(f)
fotó,photo,(f)
fotografia,photo,
fotolyo,armchair,
fotolyo,orchestra seat,(en teatro)
frágua,building;construction,(f)
fraguár,to build;to construct,(v)
fránko;fránka,frank;open;Frankish,
fransez,French,
fraza,sentence;phrase,
fregar,scrub;wash;rub,
freír;friyír,fry,(v)
freno,brake,
frente,forehead,
fresko/a,fresh,
frijidér,refrigerator,(m)
frío;fríyo,cold,(m)
frontiera,frontier,
fruchiguár,produce;multiply,(v)
fruta,fruit,
frutero,fruit seller,
frutiera,fruit bowl,
fruto del pino,pine-cone,
fuégo;huégo,fire,(m)
fuérsa;huérsa,force;strength,
fuerte,strong,
fuerte,naughty,(kreatura)
funesto/a,unfortunate,
fúrcha,brush,(f)
furtúna,storm,(f)
fusta,skirt,
futbol,football,
futúro,future,
fuyir,run away;escape,
fuzil;tufenk,shotgun,
galécha,clog,(f)
gamba,prawn,
gána,desire,(f)
ganeden,paradise;Garden of Eden,
garganta,neck,
garon,throat,
garson/a,waiter - waitress,
gato,cat,
gayardiya,gracefulness,
gayina,hen,
gayinero,henhouse,
gayo,cock,
gazeta,newspaper,
gazoza,aerated water,
gerra,war,
giador/a,guide,
ginnam,hell,
gitara,guitar,
givír;gevír,lord;master,(m)
gizár,cook,(v)
godro/a,fat,
godrura;gudrura,fatness;fat,
